ACC_X,ACC_Y,ACC_Z,GY_X,GY_Y,GY_Z
-861,-518,14830,-682,66,7399
-299,1020,14798,-629,92,7679
255,-566,15316,-769,26,7423
-682,255,14790,-762,-257,7659
-861,510,14535,-765,53,7415
255,224,14591,-817,92,7407
-885,192,14284,-857,154,7415
-1459,765,13786,-953,194,7166
-351,255,14551,-921,223,7148
-642,255,14543,-1013,255,7411
-542,-447,14591,-1013,255,7674
-518,-283,14559,-1097,255,7666
-777,8,14830,-1156,511,8179
-1172,-1244,15077,-1013,510,8415
-1036,-1371,14798,-957,510,8702
-1244,16,15085,-917,767,9213
-1212,-375,15061,-905,767,9439
-758,-921,15332,-869,767,9945
-1283,-1618,15340,-893,765,10751
-1036,-1921,14535,-769,765,11255
-977,-1531,14806,-714,767,12017
-1140,-1809,15093,-689,1023,12543
-1052,-1809,15053,-678,1023,13037
-1371,-295,14551,-625,1279,13293
-1770,-917,14312,-649,1279,13775
-1403,-1634,14045,-657,1279,14298
-674,-1841,14077,-742,1021,15332
-714,-897,14567,-661,1023,15607
-1244,-1331,15101,-585,767,15854
-379,255,14551,-485,1023,16101
765,-825,14280,-487,1022,16101
176,255,13806,-557,1021,16117
48,1020,14025,-677,1023,16125
510,765,14284,-833,767,15599
765,1020,14332,-853,511,15348
1020,1534,14332,-945,767,14847
180,2044,14296,-1180,511,14075
